frame,cell_label,centroid_x,centroid_y,area,blob_type,included,classical_zero_crossings,classical_budding,modern_defect_ratio,modern_budding,classifiers_agree,crop_path
3,17,1283.3,823.7,2141.0,single,True,0,False,0.153,False,True,non_budding/frame3_cell17.tif
3,18,1564.0,853.9,2895.0,budding_pair,True,7,True,0.245,True,True,budding/frame3_cell18.tif
3,19,687.2,918.9,5157.0,single,True,0,False,0.269,False,True,non_budding/frame3_cell19.tif
3,20,1168.1,1010.4,3117.0,single,True,0,False,0.098,False,True,non_budding/frame3_cell20.tif
3,21,730.3,1014.0,3650.0,ambiguous,False,0,False,0.211,False,,
3,22,60.7,1115.1,2630.0,single,True,0,False,0.208,False,True,
3,23,1367.0,1157.5,2334.0,budding_pair,True,5,True,0.195,True,True,budding/frame3_cell23.tif
3,24,882.0,1166.6,1768.0,single,True,0,False,0.205,False,True,non_budding/frame3_cell24.tif
3,25,41.1,1216.1,1782.0,budding_pair,True,9,True,0.334,True,True,
4,1,815.0,48.5,2372.0,single,True,0,False,0.105,False,True,
4,2,1152.5,96.5,2443.0,single,True,0,False,0.319,False,True,non_budding/frame4_cell2.tif
4,3,637.7,148.9,3030.0,single,True,0,False,0.177,False,True,non_budding/frame4_cell3.tif
4,4,1320.7,161.1,2187.0,single,True,0,False,0.16,False,True,non_budding/frame4_cell4.tif
4,5,86.0,166.7,2041.0,single,True,0,False,0.772,False,True,non_budding/frame4_cell5.tif
4,6,133.6,293.7,2520.0,budding_pair,True,13,True,0.336,True,True,budding/frame4_cell6.tif
4,7,185.3,423.9,3129.0,budding_pair,True,10,True,0.262,True,True,budding/frame4_cell7.tif
4,8,1167.4,422.7,4227.0,budding_pair,True,5,True,0.227,True,True,budding/frame4_cell8.tif
4,9,884.9,433.8,3543.0,ambiguous,False,0,False,0.173,False,,
4,10,744.1,448.1,3616.0,budding_pair,True,7,True,0.22,True,True,budding/frame4_cell10.tif
4,11,294.4,557.1,3137.0,budding_pair,True,9,True,0.276,True,True,budding/frame4_cell11.tif
4,12,1269.4,621.0,3887.0,ambiguous,False,0,False,0.272,False,,
4,13,1561.0,639.2,1900.0,single,True,0,False,0.068,False,True,non_budding/frame4_cell13.tif
4,14,501.3,684.9,1579.0,single,True,0,False,0.124,False,True,non_budding/frame4_cell14.tif
4,15,1592.2,804.6,3038.0,budding_pair,True,11,True,0.282,True,True,budding/frame4_cell15.tif
4,16,1113.2,839.3,2481.0,single,True,0,False,0.1,False,True,non_budding/frame4_cell16.tif
4,17,1468.4,914.5,5916.0,multicell,False,0,False,0.283,False,,
4,18,905.1,929.0,3722.0,budding_pair,True,3,False,0.185,True,False,budding/frame4_cell18.tif
4,19,1177.0,955.3,3011.0,budding_pair,True,14,True,1.442,True,True,budding/frame4_cell19.tif
4,20,327.1,1025.2,2746.0,single,True,0,False,0.322,False,True,non_budding/frame4_cell20.tif
4,21,533.1,1035.7,2988.0,ambiguous,False,0,False,0.151,False,,
4,22,153.0,1108.9,1290.0,budding_pair,True,13,True,1.431,True,True,budding/frame4_cell22.tif
4,23,631.6,1151.7,3686.0,ambiguous,False,0,False,0.15,False,,
4,24,1159.1,1147.7,1759.0,single,True,0,False,0.136,False,True,non_budding/frame4_cell24.tif
4,25,535.4,1162.1,1627.0,single,True,0,False,0.214,False,True,non_budding/frame4_cell25.tif
5,1,1330.4,79.4,2922.0,budding_pair,True,4,False,0.162,True,False,budding/frame5_cell1.tif
5,2,236.0,129.9,1272.0,single,True,0,False,0.198,False,True,non_budding/frame5_cell2.tif
5,3,1137.8,154.3,2369.0,single,True,0,False,0.046,False,True,non_budding/frame5_cell3.tif
5,4,1384.4,203.4,2849.0,budding_pair,True,13,True,0.508,True,True,budding/frame5_cell4.tif
5,5,1272.0,227.3,2122.0,single,True,0,False,0.192,False,True,non_budding/frame5_cell5.tif
5,6,695.1,234.7,1900.0,single,True,0,False,0.073,False,True,non_budding/frame5_cell6.tif
5,7,341.5,236.7,2692.0,budding_pair,True,13,True,0.4,True,True,budding/frame5_cell7.tif
5,8,775.9,320.1,3750.0,ambiguous,False,0,False,0.25,False,,
5,9,1435.1,335.7,3147.0,budding_pair,True,5,True,0.245,True,True,budding/frame5_cell9.tif
5,10,216.1,351.3,2280.0,single,True,0,False,0.213,False,True,non_budding/frame5_cell10.tif
5,11,470.8,448.9,2810.0,single,True,0,False,0.138,False,True,non_budding/frame5_cell11.tif
5,12,1546.0,467.6,2801.0,budding_pair,True,6,True,0.179,True,True,budding/frame5_cell12.tif
5,13,1200.8,500.7,3542.0,budding_pair,True,8,True,0.204,True,True,budding/frame5_cell13.tif
5,14,722.6,505.7,2804.0,single,True,0,False,0.195,False,True,non_budding/frame5_cell14.tif
5,15,1134.3,521.1,3812.0,budding_pair,True,7,True,0.18,True,True,budding/frame5_cell15.tif
5,16,279.4,558.6,1904.0,single,True,0,False,0.118,False,True,non_budding/frame5_cell16.tif
5,17,544.1,583.3,4100.0,budding_pair,True,7,True,0.216,True,True,budding/frame5_cell17.tif
5,18,58.0,631.7,3294.0,budding_pair,True,10,True,0.276,True,True,
5,19,876.0,664.1,2496.0,single,True,0,False,0.062,False,True,non_budding/frame5_cell19.tif
5,20,1064.2,802.1,4048.0,budding_pair,True,8,True,0.23,True,True,budding/frame5_cell20.tif
5,21,554.8,825.8,2360.0,single,True,0,False,0.181,False,True,non_budding/frame5_cell21.tif
5,22,1578.7,934.7,2542.0,budding_pair,True,11,True,0.722,True,True,budding/frame5_cell22.tif
5,23,1394.7,1025.6,2757.0,budding_pair,True,3,False,0.193,True,False,budding/frame5_cell23.tif
5,24,1101.7,1058.9,2756.0,single,True,0,False,0.162,False,True,non_budding/frame5_cell24.tif
5,25,970.3,1060.7,2149.0,single,True,0,False,0.173,False,True,non_budding/frame5_cell25.tif
6,1,530.7,75.9,3860.0,multicell,False,0,False,0.625,False,,
6,2,1325.2,111.9,1561.0,single,True,0,False,0.178,False,True,non_budding/frame6_cell2.tif
6,3,1056.8,169.2,3734.0,budding_pair,True,7,True,0.283,True,True,budding/frame6_cell3.tif
6,4,322.0,185.2,1729.0,single,True,0,False,0.141,False,True,non_budding/frame6_cell4.tif
6,5,46.8,244.4,397.0,budding_pair,True,6,True,1.144,True,True,
6,6,526.3,309.6,2369.0,single,True,0,False,0.06,False,True,non_budding/frame6_cell6.tif
6,7,1080.7,415.6,2450.0,single,True,0,False,0.083,False,True,non_budding/frame6_cell7.tif
6,8,543.4,435.0,4135.0,ambiguous,False,0,False,0.251,False,,
6,9,321.5,464.9,2958.0,budding_pair,True,7,True,0.303,True,True,budding/frame6_cell9.tif
6,10,667.2,503.3,7101.0,single,True,0,False,0.167,False,True,non_budding/frame6_cell10.tif
6,11,760.0,508.2,4323.0,budding_pair,True,6,True,0.241,True,True,budding/frame6_cell11.tif
6,12,1363.2,567.5,3307.0,budding_pair,True,5,True,0.199,True,True,budding/frame6_cell12.tif
6,13,843.0,609.4,3851.0,ambiguous,False,0,False,0.21,False,,
6,14,582.4,626.6,5360.0,budding_pair,True,10,True,0.272,True,True,budding/frame6_cell14.tif
6,15,1365.9,685.4,2182.0,single,True,0,False,0.044,False,True,non_budding/frame6_cell15.tif
6,16,1494.4,714.2,3068.0,single,True,0,False,0.096,False,True,non_budding/frame6_cell16.tif
6,17,568.6,718.6,2317.0,single,True,0,False,0.057,False,True,non_budding/frame6_cell17.tif
6,18,1275.0,798.2,3167.0,single,True,0,False,0.189,False,True,non_budding/frame6_cell18.tif
6,19,933.8,909.7,3263.0,budding_pair,True,5,True,0.234,True,True,budding/frame6_cell19.tif
6,20,209.8,908.2,1892.0,single,True,0,False,0.154,False,True,non_budding/frame6_cell20.tif
6,21,1567.1,928.1,1522.0,single,True,0,False,0.144,False,True,non_budding/frame6_cell21.tif
6,22,1596.7,993.3,2642.0,budding_pair,True,8,True,0.251,True,True,budding/frame6_cell22.tif
6,23,857.2,1030.0,2517.0,single,True,0,False,0.195,False,True,non_budding/frame6_cell23.tif
6,24,370.8,1078.8,1606.0,single,True,0,False,0.45,False,True,non_budding/frame6_cell24.tif
6,25,550.9,1088.9,4982.0,ambiguous,False,0,False,0.344,False,,
6,26,1343.8,1143.5,2719.0,multicell,False,0,False,0.333,False,,
6,27,528.9,1158.9,2025.0,single,True,0,False,0.197,False,True,non_budding/frame6_cell27.tif
6,28,1475.0,1164.0,2366.0,single,True,0,False,0.417,False,True,non_budding/frame6_cell28.tif
7,1,1648.6,62.7,398.0,multicell,False,0,False,0.933,False,,
7,2,986.4,102.2,2197.0,single,True,0,False,0.068,False,True,non_budding/frame7_cell2.tif
7,3,1210.2,139.8,3319.0,budding_pair,True,12,True,0.651,True,True,budding/frame7_cell3.tif
7,4,821.6,148.0,2781.0,budding_pair,True,6,True,0.3,True,True,budding/frame7_cell4.tif
7,5,1264.5,160.9,2201.0,budding_pair,True,17,True,0.592,True,True,budding/frame7_cell5.tif
7,6,570.0,195.6,2628.0,single,True,0,False,0.104,False,True,non_budding/frame7_cell6.tif
7,7,702.2,309.5,3438.0,budding_pair,True,5,True,0.188,True,True,budding/frame7_cell7.tif
7,8,286.2,311.5,2303.0,budding_pair,True,7,True,0.211,True,True,budding/frame7_cell8.tif
7,9,537.5,342.2,1679.0,single,True,0,False,0.315,False,True,non_budding/frame7_cell9.tif
7,10,868.4,428.2,2449.0,single,True,0,False,0.051,False,True,non_budding/frame7_cell10.tif
7,11,296.6,450.8,3945.0,ambiguous,False,0,False,0.249,False,,
7,12,301.2,612.2,1763.0,single,True,0,False,0.232,False,True,non_budding/frame7_cell12.tif
7,13,723.8,707.6,2575.0,single,True,0,False,0.266,False,True,non_budding/frame7_cell13.tif
7,14,1563.3,705.1,2132.0,single,True,0,False,0.287,False,True,non_budding/frame7_cell14.tif
7,15,1034.7,823.1,5860.0,ambiguous,False,0,False,0.435,False,,
7,16,1312.1,826.4,3442.0,budding_pair,True,7,True,0.201,True,True,budding/frame7_cell16.tif
7,17,1483.1,822.2,2048.0,single,True,0,False,0.065,False,True,non_budding/frame7_cell17.tif
7,18,644.0,895.3,3579.0,ambiguous,False,0,False,0.235,False,,
7,19,1194.7,911.0,4380.0,ambiguous,False,0,False,0.268,False,,
7,20,1089.0,927.6,2482.0,single,True,0,False,0.181,False,True,non_budding/frame7_cell20.tif
7,21,1365.9,1201.4,1720.0,single,True,0,False,0.102,False,True,
7,22,1627.2,1216.5,1225.0,single,True,0,False,0.996,False,True,
8,1,1047.0,64.9,2812.0,ambiguous,False,0,False,0.587,False,,
8,2,327.7,121.7,3922.0,ambiguous,False,0,False,0.215,False,,
8,3,1147.1,151.6,2907.0,budding_pair,True,11,True,0.22,True,True,budding/frame8_cell3.tif
8,4,897.5,168.9,2326.0,single,True,0,False,0.102,False,True,non_budding/frame8_cell4.tif
8,5,285.5,243.7,3043.0,budding_pair,True,7,True,0.241,True,True,budding/frame8_cell5.tif
8,6,604.1,383.6,1990.0,single,True,0,False,0.188,False,True,non_budding/frame8_cell6.tif
8,7,158.6,425.7,1686.0,single,True,0,False,0.18,False,True,non_budding/frame8_cell7.tif
8,8,539.8,453.6,3093.0,budding_pair,True,11,True,0.34,True,True,budding/frame8_cell8.tif
8,9,1329.2,576.8,2552.0,single,True,0,False,0.188,False,True,non_budding/frame8_cell9.tif
8,10,227.4,585.0,2081.0,single,True,0,False,0.122,False,True,non_budding/frame8_cell10.tif
8,11,1069.0,712.1,2921.0,single,True,0,False,0.842,False,True,non_budding/frame8_cell11.tif
8,12,275.4,719.9,3317.0,budding_pair,True,6,True,0.301,True,True,budding/frame8_cell12.tif
8,13,798.4,787.9,2582.0,single,True,0,False,0.208,False,True,non_budding/frame8_cell13.tif
8,14,969.5,913.4,3666.0,budding_pair,True,9,True,0.232,True,True,budding/frame8_cell14.tif
8,15,1547.5,924.2,3280.0,multicell,False,0,False,0.224,False,,
8,16,372.3,919.3,2044.0,single,True,0,False,0.171,False,True,non_budding/frame8_cell16.tif
8,17,1254.1,1044.4,3241.0,budding_pair,True,15,True,0.423,True,True,budding/frame8_cell17.tif
8,18,422.3,1125.2,3080.0,multicell,False,0,False,0.261,False,,
9,1,784.4,108.5,3855.0,budding_pair,True,6,True,0.24,True,True,budding/frame9_cell1.tif
9,2,528.2,555.4,956.0,single,True,0,False,0.047,False,True,non_budding/frame9_cell2.tif
9,3,1495.7,573.7,2166.0,single,True,0,False,0.04,False,True,non_budding/frame9_cell3.tif
9,4,553.0,603.6,1890.0,budding_pair,True,5,True,0.483,True,True,budding/frame9_cell4.tif
9,5,913.3,657.3,3999.0,budding_pair,True,6,True,0.172,True,True,budding/frame9_cell5.tif
9,6,1593.1,682.8,2337.0,budding_pair,True,10,True,0.439,True,True,budding/frame9_cell6.tif
9,7,398.7,837.5,2839.0,multicell,False,0,False,1.728,False,,
9,8,1314.5,871.2,2160.0,budding_pair,True,12,True,1.232,True,True,budding/frame9_cell8.tif
9,9,297.4,872.5,2088.0,single,True,0,False,0.222,False,True,non_budding/frame9_cell9.tif
9,10,678.8,887.4,2207.0,single,True,0,False,0.038,False,True,non_budding/frame9_cell10.tif
9,11,1541.7,981.0,2023.0,single,True,0,False,1.959,False,True,non_budding/frame9_cell11.tif
9,12,461.1,985.7,2124.0,budding_pair,True,11,True,0.767,True,True,budding/frame9_cell12.tif
9,13,1475.2,1102.0,3732.0,multicell,False,0,False,1.837,False,,
10,1,790.8,104.1,1258.0,single,True,0,False,0.087,False,True,non_budding/frame10_cell1.tif
10,2,1032.4,403.7,3460.0,budding_pair,True,4,False,0.152,True,False,budding/frame10_cell2.tif
10,3,187.8,402.7,1291.0,single,True,0,False,1.305,False,True,non_budding/frame10_cell3.tif
10,4,473.9,613.0,1214.0,single,True,0,False,0.048,False,True,non_budding/frame10_cell4.tif
10,5,448.0,637.9,605.0,single,True,0,False,0.059,False,True,non_budding/frame10_cell5.tif
10,6,309.6,818.1,1960.0,budding_pair,True,11,True,0.504,True,True,budding/frame10_cell6.tif
10,7,601.6,983.6,1657.0,budding_pair,True,8,True,0.431,True,True,budding/frame10_cell7.tif
10,8,838.9,1003.6,1411.0,single,True,0,False,0.039,False,True,non_budding/frame10_cell8.tif
10,9,696.1,1074.3,3259.0,ambiguous,False,0,False,0.198,False,,
11,1,818.0,93.5,2020.0,budding_pair,True,6,True,0.361,True,True,budding/frame11_cell1.tif
11,2,1014.2,172.1,3836.0,ambiguous,False,0,False,0.236,False,,
11,3,917.3,237.2,1625.0,budding_pair,True,7,True,0.536,True,True,budding/frame11_cell3.tif
11,4,1027.4,355.7,3706.0,ambiguous,False,0,False,0.17,False,,
11,5,1482.3,386.4,2074.0,single,True,0,False,0.161,False,True,non_budding/frame11_cell5.tif
11,6,807.2,646.6,2426.0,budding_pair,True,17,True,0.872,True,True,budding/frame11_cell6.tif
11,7,581.0,779.0,2942.0,multicell,False,0,False,1.418,False,,
11,8,897.9,1022.5,2348.0,budding_pair,True,18,True,1.063,True,True,budding/frame11_cell8.tif
11,9,678.6,1214.9,2463.0,budding_pair,True,9,True,0.34,True,True,
11,10,611.8,1228.1,1451.0,single,True,0,False,0.397,False,True,
12,1,86.1,91.2,2571.0,budding_pair,True,19,True,1.16,True,True,budding/frame12_cell1.tif
12,2,648.4,246.0,1956.0,budding_pair,True,8,True,0.427,True,True,budding/frame12_cell2.tif
12,3,179.5,491.9,1747.0,single,True,0,False,1.683,False,True,non_budding/frame12_cell3.tif
12,4,1392.0,554.5,2086.0,budding_pair,True,5,True,0.266,True,True,budding/frame12_cell4.tif
12,5,1413.8,585.4,1725.0,budding_pair,True,12,True,0.925,True,True,budding/frame12_cell5.tif
12,6,1060.0,589.8,2139.0,budding_pair,True,16,True,2.026,True,True,budding/frame12_cell6.tif
12,7,1453.3,683.8,3201.0,single,True,0,False,0.037,False,True,non_budding/frame12_cell7.tif
12,8,797.2,695.9,1443.0,single,True,0,False,0.037,False,True,non_budding/frame12_cell8.tif
12,9,1162.3,808.3,1192.0,single,True,0,False,0.045,False,True,non_budding/frame12_cell9.tif
12,10,1240.4,858.1,1257.0,single,True,0,False,0.187,False,True,non_budding/frame12_cell10.tif
12,11,371.9,861.4,3522.0,budding_pair,True,14,True,0.653,True,True,budding/frame12_cell11.tif
12,12,1279.6,880.9,2164.0,budding_pair,True,7,True,0.265,True,True,budding/frame12_cell12.tif
12,13,667.8,898.0,2811.0,single,True,0,False,0.111,False,True,non_budding/frame12_cell13.tif
12,14,759.2,1069.8,2101.0,single,True,0,False,0.172,False,True,non_budding/frame12_cell14.tif
12,15,841.5,1233.0,3183.0,multicell,False,0,False,0.496,False,,
13,1,972.8,82.6,2176.0,ambiguous,False,0,False,0.158,False,,
13,2,1062.1,242.8,2851.0,ambiguous,False,0,False,0.519,False,,
13,3,1540.4,297.3,3027.0,budding_pair,True,7,True,0.196,True,True,budding/frame13_cell3.tif
13,4,643.6,433.6,1661.0,budding_pair,True,8,True,0.535,True,True,budding/frame13_cell4.tif
13,5,335.4,516.2,1581.0,single,True,0,False,1.628,False,True,non_budding/frame13_cell5.tif
13,6,1250.8,597.9,4542.0,budding_pair,True,7,True,0.216,True,True,budding/frame13_cell6.tif
13,7,299.2,772.7,3372.0,multicell,False,0,False,1.272,False,,
13,8,324.5,851.2,1904.0,single,True,0,False,0.219,False,True,non_budding/frame13_cell8.tif
13,9,1417.8,895.0,4122.0,budding_pair,True,5,True,0.185,True,True,budding/frame13_cell9.tif
13,10,222.1,891.5,1721.0,single,True,0,False,1.65,False,True,non_budding/frame13_cell10.tif
13,11,444.0,989.9,3028.0,budding_pair,True,16,True,2.457,True,True,budding/frame13_cell11.tif
13,12,1081.4,1048.4,3641.0,budding_pair,True,11,True,0.264,True,True,budding/frame13_cell12.tif
14,1,1270.3,124.2,2536.0,single,True,0,False,0.166,False,True,non_budding/frame14_cell1.tif
14,2,255.7,184.8,2417.0,single,True,0,False,0.865,False,True,non_budding/frame14_cell2.tif
14,3,1503.8,413.3,2566.0,budding_pair,True,14,True,2.363,True,True,budding/frame14_cell3.tif
14,4,378.4,498.9,2485.0,single,True,0,False,0.073,False,True,non_budding/frame14_cell4.tif
14,5,132.1,511.3,1977.0,single,True,0,False,0.106,False,True,non_budding/frame14_cell5.tif
14,6,1559.6,529.7,2121.0,budding_pair,True,17,True,0.309,True,True,budding/frame14_cell6.tif
14,7,1051.6,610.4,1920.0,budding_pair,True,13,True,2.426,True,True,budding/frame14_cell7.tif
14,8,892.5,621.0,1784.0,budding_pair,True,7,True,0.338,True,True,budding/frame14_cell8.tif
14,9,46.2,733.4,3187.0,budding_pair,True,10,True,0.259,True,True,
14,10,801.1,798.1,2800.0,single,True,0,False,0.11,False,True,non_budding/frame14_cell10.tif
14,11,473.7,820.6,2500.0,budding_pair,True,12,True,1.84,True,True,budding/frame14_cell11.tif
14,12,1651.6,894.1,2075.0,single,True,0,False,0.187,False,True,
14,13,301.6,971.9,3899.0,ambiguous,False,0,False,0.224,False,,
14,14,1008.7,983.5,3478.0,ambiguous,False,0,False,0.236,False,,
14,15,1056.3,1110.4,3493.0,budding_pair,True,8,True,0.272,True,True,budding/frame14_cell15.tif
14,16,649.5,1143.2,2376.0,single,True,0,False,0.125,False,True,non_budding/frame14_cell16.tif
15,1,1384.7,299.9,3076.0,budding_pair,True,14,True,2.219,True,True,budding/frame15_cell1.tif
15,2,530.0,343.8,389.0,single,True,0,False,0.129,False,True,non_budding/frame15_cell2.tif
15,3,1581.2,382.6,2418.0,single,True,0,False,0.046,False,True,non_budding/frame15_cell3.tif
15,4,46.5,393.4,1109.0,single,True,0,False,0.196,False,True,
15,5,687.3,478.4,2215.0,single,True,0,False,0.048,False,True,non_budding/frame15_cell5.tif
15,6,235.7,484.0,1794.0,single,True,0,False,1.899,False,True,non_budding/frame15_cell6.tif
15,7,716.1,629.4,2227.0,single,True,0,False,0.042,False,True,non_budding/frame15_cell7.tif
15,8,178.7,764.6,6006.0,multicell,False,0,False,0.593,False,,
15,9,423.5,780.1,3054.0,single,True,0,False,0.17,False,True,non_budding/frame15_cell9.tif
15,10,487.3,958.0,2720.0,single,True,0,False,0.122,False,True,non_budding/frame15_cell10.tif
15,11,931.9,953.0,2263.0,single,True,0,False,0.037,False,True,non_budding/frame15_cell11.tif
15,12,560.4,1028.3,3551.0,budding_pair,True,6,True,0.15,True,True,budding/frame15_cell12.tif
16,1,1264.8,58.9,3548.0,ambiguous,False,0,False,0.235,False,,
16,2,1642.8,163.5,1780.0,single,True,0,False,0.058,False,True,
16,3,698.4,216.0,2222.0,single,True,0,False,2.338,False,True,non_budding/frame16_cell3.tif
16,4,73.7,437.4,1704.0,single,True,0,False,0.359,False,True,non_budding/frame16_cell4.tif
16,5,334.2,576.4,2376.0,ambiguous,False,0,False,0.739,False,,
16,6,79.7,707.7,2252.0,budding_pair,True,11,True,0.49,True,True,budding/frame16_cell6.tif
16,7,1252.6,831.0,4046.0,budding_pair,True,3,False,0.209,True,False,budding/frame16_cell7.tif
16,8,1054.9,863.6,1661.0,budding_pair,True,7,True,0.382,True,True,budding/frame16_cell8.tif
16,9,1554.2,906.5,2891.0,budding_pair,True,3,False,0.155,True,False,budding/frame16_cell9.tif
16,10,800.7,1221.4,3053.0,multicell,False,0,False,1.147,False,,
17,1,816.3,38.3,4326.0,budding_pair,True,5,True,0.278,True,True,
17,2,1582.8,47.6,3220.0,budding_pair,True,11,True,0.788,True,True,
17,3,1359.6,106.4,3209.0,ambiguous,False,0,False,0.867,False,,
17,4,275.4,174.9,2121.0,single,True,0,False,2.122,False,True,non_budding/frame17_cell4.tif
17,5,480.1,172.6,1363.0,single,True,0,False,1.761,False,True,non_budding/frame17_cell5.tif
17,6,497.4,234.4,2401.0,single,True,0,False,0.369,False,True,non_budding/frame17_cell6.tif
17,7,55.6,398.6,1542.0,single,True,0,False,0.173,False,True,
17,8,584.2,406.1,1555.0,single,True,0,False,0.033,False,True,non_budding/frame17_cell8.tif
